CNC Machine Opened at 03/07/2012 19:59:01
03/07/2012 19:59:03: Drill Location = (0, 0, 0); Message: UART Open
03/07/2012 19:59:13: Drill Location = (0, 0, -20); Message: Data Sent: z
03/07/2012 19:59:13: Drill Location = (0, 0, -21); Message: Received: K
03/07/2012 19:59:13: Drill Location = (0, 0, -21); Message: Received: D
03/07/2012 19:59:13: Drill Location = (0, 0, -21); Message: Data Sent: z
03/07/2012 19:59:13: Drill Location = (0, 0, -22); Message: Received: K
03/07/2012 19:59:14: Drill Location = (0, 0, -22); Message: Received: D
03/07/2012 19:59:14: Drill Location = (0, 0, -22); Message: Data Sent: z
03/07/2012 19:59:14: Drill Location = (0, 0, -23); Message: Received: K
03/07/2012 19:59:14: Drill Location = (0, 0, -23); Message: Received: D
03/07/2012 19:59:14: Drill Location = (0, 0, -23); Message: Data Sent: z
03/07/2012 19:59:14: Drill Location = (0, 0, -24); Message: Received: K
03/07/2012 19:59:15: Drill Location = (0, 0, -24); Message: Received: D
03/07/2012 19:59:15: Drill Location = (0, 0, -24); Message: Data Sent: z
03/07/2012 19:59:15: Drill Location = (0, 0, -25); Message: Received: K
03/07/2012 19:59:15: Drill Location = (0, 0, -25); Message: Received: D
03/07/2012 19:59:15: Drill Location = (0, 0, -25); Message: Data Sent: z
03/07/2012 19:59:15: Drill Location = (0, 0, -26); Message: Received: K
03/07/2012 19:59:15: Drill Location = (0, 0, -26); Message: Received: D
03/07/2012 19:59:16: Drill Location = (0, 0, -26); Message: Data Sent: z
03/07/2012 19:59:16: Drill Location = (0, 0, -27); Message: Received: K
03/07/2012 19:59:16: Drill Location = (0, 0, -27); Message: Received: D
03/07/2012 19:59:16: Drill Location = (0, 0, -27); Message: Data Sent: z
03/07/2012 19:59:16: Drill Location = (0, 0, -28); Message: Received: K
03/07/2012 19:59:16: Drill Location = (0, 0, -28); Message: Received: D
03/07/2012 19:59:16: Drill Location = (0, 0, -28); Message: Data Sent: z
03/07/2012 19:59:16: Drill Location = (0, 0, -29); Message: Received: K
03/07/2012 19:59:17: Drill Location = (0, 0, -29); Message: Received: D
03/07/2012 19:59:17: Drill Location = (0, 0, -29); Message: Data Sent: z
03/07/2012 19:59:17: Drill Location = (0, 0, -30); Message: Received: K
03/07/2012 19:59:17: Drill Location = (0, 0, -30); Message: Received: D
03/07/2012 19:59:18: Drill Location = (0, 0, -30); Message: Data Sent: z
03/07/2012 19:59:18: Drill Location = (0, 0, -31); Message: Received: K
03/07/2012 19:59:18: Drill Location = (0, 0, -31); Message: Received: D
03/07/2012 19:59:18: Drill Location = (0, 0, -31); Message: Data Sent: z
03/07/2012 19:59:18: Drill Location = (0, 0, -32); Message: Received: K
03/07/2012 19:59:19: Drill Location = (0, 0, -32); Message: Received: D
03/07/2012 19:59:40: Drill Location = (0, 0, -32); Message: Milling Started
03/07/2012 19:59:40: Drill Location = (0, 0, 0); Message: Programming In Millimeters
03/07/2012 19:59:41: Drill Location = (0, 0, 0); Message: Absolute Programming
03/07/2012 19:59:41: Drill Location = (0, 0, 0); Message: Rapid Move
03/07/2012 19:59:41: Drill Location = (0, 0, 0); Message: Data Sent: R
03/07/2012 19:59:41: Drill Location = (0, 0, 0); Message: Received: K
